Country,Emigrants,Notes

 Rwanda,"315,866",2.65%,
 Saint Helena,"3,958",48.19%,
 Saint Kitts and Nevis,"39,132",41.58%,
 Saint Lucia,"55,414",23.18%,
 Saint Pierre and Miquelon,435,6.67%,
 Saint Vincent and the Grenadines,"60,424",36.97%,
 Samoa,"113,139",36.68%,
 San Marino,"2,303",6.60%,
 Sao Tome and Principe,"35,833",15.83%,
 Saudi Arabia,"270,029",0.78%,
 Senegal,"586,870",3.73%,
 Serbia,"964,585",9.83%,
 Seychelles,"11,772",11.34%,
 Sierra Leone,"145,003",2.20%,
 Singapore,"313,884",5.36%,
 Sint Maarten,"23,811",41.46%,
 Slovakia,"341,620",5.92%,
 Slovenia,"140,490",6.36%,
 Solomon Islands,"3,833",0.65%,
 Somalia,"1,998,764",15.63%,
 South Africa,"841,120",1.52%,
 South Korea,"2,345,840",4.46%,
 South Sudan,"634,613",4.89%,
 Spain,"1,251,004",2.60%,
 Sri Lanka,"1,637,385",7.32%,
 Sudan,"1,890,861",3.22%,
 Suriname,"267,800",30.38%,
 Swaziland,"95,671",6.92%,
 Sweden,"333,428",3.30%,
  Switzerland,"664,557",7.41%,
 Syria,"5,011,509",21.30%,
 Tanzania,"294,531",0.55%,
 Tajikistan,"589,748",6.50%,
 Thailand,"854,327",1.24%,
 Timor-Leste,"37,311",3.01%,
 Togo,"446,982",5.77%,
 Tokelau,"2,255",61.51%,
 Tonga,"56,524",35.42%,
 Trinidad and Tobago,"363,332",20.89%,
 Tunisia,"651,044",5.46%,
 Turkey,"3,114,471",3.81%,
 Turkmenistan,"242,948",4.33%,
 Turks and Caicos Islands,"1,878",3.69%,
 Tuvalu,"3,472",24.60%,
 Uganda,"736,017",1.50%,
 Ukraine,"5,825,745",11.50%,
 United Arab Emirates,"136,557",1.35%,
 United Kingdom,"4,917,460",7.05%,
 United States of America,"3,023,657",0.92%,
 United States Virgin Islands,"3,407",3.18%,
 Uruguay,"346,976",9.18%,
 Uzbekistan,"1,991,040",6.24%,
 Vanuatu,"8,583",3.40%,
 Venezuela,"606,344",1.91%,
 Vietnam,"2,558,678",2.67%,
 Wallis and Futuna,"7,843",39.13%,
 Western Sahara,"91,034",13.44%,
 Yemen,"1,012,889",3.63%,
 Zambia,"238,121",1.45%,
 Zimbabwe,"856,345",5.20%,
